;dataset_name;dataset_size;dataset_random_seed;algorithm_name;algorithm_random_seed;time_start;time_stop;time_total
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/simple_prep-rand_4/;bank_cards_v2;2000;2;simple_prep;4;1668606243;1668606256;13,56019878
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/simple_prep-rand_5/;bank_cards_v2;2000;2;simple_prep;5;1668606243;1668606256;13,09479809
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/filter_prep-rand_1/;bank_cards_v2;2000;3;filter_prep;1;1668606256;1668606270;13,78670192
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/filter_prep-rand_2/;bank_cards_v2;2000;3;filter_prep;2;1668606256;1668606270;13,65324497
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/filter_prep-rand_3/;bank_cards_v2;2000;3;filter_prep;3;1668606263;1668606277;13,86833882
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/filter_prep-rand_4/;bank_cards_v2;2000;3;filter_prep;4;1668606270;1668606284;14,02252007
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/filter_prep-rand_5/;bank_cards_v2;2000;3;filter_prep;5;1668606270;1668606284;14,00028205
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/lemma_prep-rand_1/;bank_cards_v2;2000;3;lemma_prep;1;1668606250;1668606263;13,558851
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/lemma_prep-rand_2/;bank_cards_v2;2000;3;lemma_prep;2;1668606256;1668606270;13,65771699
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/lemma_prep-rand_3/;bank_cards_v2;2000;3;lemma_prep;3;1668606262;1668606276;13,95209503
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/lemma_prep-rand_4/;bank_cards_v2;2000;3;lemma_prep;4;1668606269;1668606283;13,8412168
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/lemma_prep-rand_5/;bank_cards_v2;2000;3;lemma_prep;5;1668606270;1668606284;13,81736302
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/simple_prep-rand_1/;bank_cards_v2;2000;3;simple_prep;1;1668606250;1668606263;13,62267804
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/simple_prep-rand_2/;bank_cards_v2;2000;3;simple_prep;2;1668606256;1668606269;13,22659612
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/simple_prep-rand_3/;bank_cards_v2;2000;3;simple_prep;3;1668606256;1668606270;13,73762608
../experiments/preprocessing/bank_cards_v2-size_2000-rand_3/simple_prep-rand_4/;bank_cards_v2;2000;3;simple_prep;4;1668606263;1668606277;13,76995611
